,date,default_code,name_prod,subcateg_name,st_in,st_out,st_last,order_qty,qty_delivered,selisih,progress_sum,stock-so
0,2021-12-04,JELA-2,PortoLady ELA-2 size 36-40 @48,Slow,0.0,0.0,101.0,0.0,0.0,0.0,3.0,98.0
1,2021-12-04,JBTS,PortoLady BTS size 36-40 @36,Fast,20.0,30.0,24.0,8.0,0.0,8.0,49.0,-25.0
2,2021-12-04,AA004K,Shoe Porto AA 004K Mix size 26-30 @40,Very Fast,0.0,0.0,40.0,0.0,0.0,0.0,0.0,40.0
3,2021-12-04,E1034K,EVA Porto 1034K size 24-29 @96,Very Fast,137.0,119.0,618.0,0.0,20.0,-20.0,59.0,559.0
4,2021-12-04,E1031M,EVA Porto 1031M size 39-44 @48,Fast,2.0,2.0,11.0,0.0,0.0,0.0,97.0,-86.0
5,2021-12-04,AB012M-00,Shoe Porto AB 012M Black size 39-43 @20,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,2021-12-04,E-1023L-3,EVA Porto 1023L-3 size 36-40 @48,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-12-04,P3002L,PVC Porto 3002L size 36-39 @48,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-9.0
8,2021-12-04,AA002L-00,Shoe Porto AA 002L Black size 36-40 @20,Very Fast,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
9,2021-12-04,AA015B,Shoe Porto AA 015B Mix size 31-35 @40,Very Fast,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0
10,2021-12-04,E3012L,EVA Porto 3012L size 36-40 @48,Fast,39.0,84.0,192.0,0.0,6.0,-6.0,4.0,188.0
11,2021-12-04,AA001L-35,Shoe Porto AA 001L Navy size 36-40 @20,Very Fast,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
12,2021-12-04,E1037B-1,EVA Porto 1037B-1 size 30-35 @72,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-12-04,BA202L,Shoe Porto BA 202L size 36-40 @40,Very Fast,23.0,31.0,30.03,4.0,0.0,4.0,74.0,-43.97
14,2021-12-04,BA213L,Shoe Porto BA 213L size 36-40 @40,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,85.0,-85.0
15,2021-12-04,E0038B,EVA KananKiri B38 size 30-35 @96,Fast,108.0,88.0,247.0,0.0,5.0,-5.0,34.0,213.0
16,2021-12-04,JBCH,PortoLady BCH size 36-40 @24,Slow,0.0,0.0,82.22,0.0,0.0,0.0,12.0,70.22
17,2021-12-04,JCRV,PortoLady CRV size 36-40 @36,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2021-12-04,BA207L-1,Shoe Porto BA 207L-1 Alas Hitam size 36-40 @40,Very Fast,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.07
19,2021-12-04,E-1023L-2,EVA Porto 1023L-2 size 36-40 @48,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2021-12-04,E1029M,EVA Porto 1029M size 39-44 @48,Fast,12.0,9.0,117.0,0.0,6.0,-6.0,60.0,57.0
21,2021-12-04,E3032L,EVA Porto 3032L size 36-40 @72,Medium,12.0,0.0,32.0,0.0,0.0,0.0,37.0,-5.0
22,2021-12-04,JDTA-G,PortoLady DTA-G size 36-40 @36,Medium,0.0,3.0,251.28,0.0,3.0,-3.0,28.0,223.28
23,2021-12-04,E0602K,EVA Porto 602K size 24-29 @96,Fast,58.0,34.0,160.0,0.0,0.0,0.0,14.0,146.0
24,2021-12-04,JKSM,PortoLady KSM size 36-40 @24,Medium,0.0,0.0,0.0,12.0,0.0,12.0,170.0,-170.0
25,2021-12-04,E0602L,EVA Porto 602L size 36-40 @48,Medium,0.0,0.0,34.0,4.0,0.0,4.0,31.0,3.0
26,2021-12-04,BA212L,Shoe Porto BA 212L size 36-40 @40,Very Fast,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0
27,2021-12-04,E1007M,EVA Porto 1007M size 39-44 @48,Very Fast,172.0,135.0,228.0,3.0,3.0,0.0,83.0,145.0
28,2021-12-04,AA003L-02,Shoe Porto AA 003L Grey size 36-40 @20,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
29,2021-12-04,JPAI-1,PortoLady PAI-1 size 36-40 @36,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2021-12-04,BA202B-1,Shoe Porto BA 202B-1 All Black size 31-35 @40,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2021-12-04,E1028K-3,EVA Porto 1028K-3 size 24-29 @96,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,251.0,-251.0
32,2021-12-04,JSOC,PortoLady SOC size 36-40 @36,Medium,0.0,2.0,137.0,0.0,2.0,-2.0,13.0,124.0
33,2021-12-04,AA015M,Shoe Porto AA 015M Mix size 39-43 @20,Very Fast,0.0,0.0,219.0,0.0,0.0,0.0,0.0,219.0
34,2021-12-04,JZEN,PortoLady ZEN size 36-40 @36,Slow,0.0,3.0,0.0,0.0,3.0,-3.0,2.0,-2.0
35,2021-12-04,AD305B-12,Shoe Porto AD 305B Pink size 31-35 @20,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
36,2021-12-04,AA015L,Shoe Porto AA 015L Mix size 36-40 @20,Very Fast,0.0,0.0,218.0,0.0,0.0,0.0,0.0,218.0
37,2021-12-04,EJPAX-B,Jellyshoes PortoLady PAX-B Black ,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2021-12-04,E1040M,EVA Porto 1040M size 40-44 @48,Slow,0.0,0.0,8.0,0.0,0.0,0.0,36.0,-28.0
39,2021-12-04,P3019L,PVC Porto 3019L size 36-40 @48,Very Fast,25.0,36.0,72.0,10.0,11.0,-1.0,178.0,-106.0
40,2021-12-04,AA009K-35,Shoe Porto AA 009K Navy size 26-30 @40,Very Fast,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
41,2021-12-04,E0035B,EVA KananKiri B35 size 30-35 @96,Medium,60.0,63.0,162.0,0.0,3.0,-3.0,7.0,155.0
42,2021-12-04,E1028L,EVA Porto 1028L size 36-40 @48,Slow,1.0,1.0,3.0,0.0,0.0,0.0,26.0,-23.0
43,2021-12-04,E1039M,EVA Porto 1039M size 39-44 @48,Fast,136.0,100.0,124.0,4.0,8.0,-4.0,70.0,54.0
44,2021-12-04,E1015M,EVA Porto 1015M size 39-44 @48,Very Fast,99.0,102.0,607.0,4.0,11.0,-7.0,102.0,505.0
45,2021-12-04,AA001B-10,Shoe Porto AA 001B Red size 31-35 @40,Very Fast,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
46,2021-12-04,AA001M-00,Shoe Porto AA 001M Black size 39-43 @20,Very Fast,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
47,2021-12-04,E1020M,EVA Porto 1020M size 39-44 @48,Fast,87.0,113.0,133.0,0.0,16.0,-16.0,73.0,60.0
48,2021-12-04,BA202B,Shoe Porto BA 202B size 31-35 @40,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2021-12-04,E5012K,EVA KananKiri K5012 size 24-29 @72,Slow,0.0,0.0,0.0,0.0,0.0,0.0,48.0,-48.0
50,2021-12-04,E3030L,EVA Porto 3030L size 36-40 @72,Very Fast,139.0,112.0,32.0,0.0,1.0,-1.0,241.0,-209.0
51,2021-12-04,E1037B-1,EVA Porto 1037B-1 size 30-35 @72,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2021-12-04,AD302B-12,Shoe Porto AD 302B Pink size 31-35 @20,Very Fast,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0
53,2021-12-04,AA006B,Shoe Porto AA 006B Mix size 31-35 @40,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
54,2021-12-04,EJPAX-B,Jellyshoes PortoLady PAX-B Black ,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2021-12-04,E3015L,EVA Porto 3015L size 36-40 @48,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2021-12-04,JFSN,PortoLady FSN size 36-40 @24,Slow,52.0,57.0,7.0,0.0,0.0,0.0,26.0,-19.0
57,2021-12-04,E1023K-7,EVA Porto 1023K-7 size 24-29 @96,Very Fast,135.0,99.0,122.0,0.0,8.0,-8.0,38.0,84.0
58,2021-12-04,E1037K-1,EVA Porto 1037K-1 size 30-35 @72,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2021-12-04,E1006M,EVA Porto 1006M size 39-44 @48,Very Fast,178.0,213.0,164.0,0.0,27.0,-27.0,49.0,115.0
60,2021-12-04,E1029K,EVA Porto 1029K size 24-29 @96,Fast,0.0,0.0,55.0,0.0,0.0,0.0,38.0,17.0
61,2021-12-04,E1041L,EVA Porto 1041L size 36-40 @72,Fast,4.0,9.0,11.0,0.0,1.0,-1.0,124.0,-113.0
62,2021-12-04,E1006T-120,EVA Porto 1006T-120 size 18-23 @120,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2021-12-04,JWOS-C,PortoLady WOS-C size 36-40 @48,Slow,0.0,0.0,3.35,0.0,0.0,0.0,1.0,2.35
64,2021-12-04,E0602B,EVA Porto 602B size 30-35 @72,Fast,120.0,140.0,235.0,0.0,5.0,-5.0,46.0,189.0
65,2021-12-04,JYEE,PortoLady YEE size 36-40 @36,Slow,0.0,0.0,67.0,0.0,0.0,0.0,0.0,67.0
66,2021-12-04,E1036M,EVA Porto 1036M size 39-44 @48,Slow,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0
67,2021-12-04,AA008B-00,Shoe Porto AA 008B Black size 31-35 @40,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
68,2021-12-04,E1002B,EVA Porto 1002B size 30-35 @72,Fast,140.0,141.0,143.0,3.0,4.0,-1.0,42.0,101.0
69,2021-12-04,P3025L,PVC Porto 3025L size 36-40 @48,Fast,0.0,0.0,0.0,0.0,0.0,0.0,98.0,-98.0
70,2021-12-04,E1006K,EVA Porto 1006K size 24-29 @96,Very Fast,4.0,6.0,4.0,1.0,0.0,1.0,36.0,-32.0
71,2021-12-04,E1028L-1,EVA Porto 1028L-1 size 36-40 @48,Fast,24.0,12.0,270.0,0.0,0.0,0.0,0.0,270.0
72,2021-12-04,AA001L-12,Shoe Porto AA 001L Pink size 36-40 @20,Very Fast,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
73,2021-12-04,E1034T,EVA Porto 1034T size 20-23 @96,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2021-12-04,JDTA-1,PortoLady DTA-1 size 36-40 @36,Slow,18.0,18.0,133.0,0.0,0.0,0.0,0.0,133.0
75,2021-12-04,E1020B-96,EVA Porto 1020B-96 size 30-35 @96,Fast,0.0,0.0,2.0,0.0,0.0,0.0,3.0,-1.0
76,2021-12-04,E1037K-1,EVA Porto 1037K-1 size 30-35 @72,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2021-12-04,E1015L,EVA Porto 1015L size 36-40 @72,Very Fast,165.0,245.0,149.0,1.0,2.0,-1.0,8.0,141.0
78,2021-12-04,AD017M,Shoe Porto AD 017M Mix size 39-44 @20,Very Fast,0.0,0.0,19.0,0.0,0.0,0.0,0.0,19.0
79,2021-12-04,BA201B-1,Shoe Porto BA 201B-1 All Black size 31-35 @40,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2021-12-04,JPAI,PortoLady PAI size 36-40 @36,Medium,3.0,3.0,121.063,0.0,0.0,0.0,6.0,115.063
81,2021-12-04,BA209L,Shoe Porto BA 209L size 36-40 @40,Very Fast,0.0,1.0,60.0,0.0,1.0,-1.0,40.0,20.0
82,2021-12-04,AA004L-00,Shoe Porto AA 004L Black size 36-40 @20,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
83,2021-12-04,JELA-1,PortoLady ELA-1 size 36-40 @48,Fast,0.0,1.0,47.0,0.0,0.0,0.0,5.0,42.0
84,2021-12-04,E1006B,EVA Porto 1006B size 30-35 @72,Fast,161.0,172.0,133.0,0.0,11.0,-11.0,46.0,87.0
85,2021-12-04,AA014L-31,Shoe Porto AA 014L Gemblue size 36-40 @20,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
86,2021-12-04,JDTA,PortoLady DTA size 36-40 @36,Very Fast,104.0,175.0,1029.6,5.0,12.0,-7.0,30.0,999.5999999999999
87,2021-12-04,E1028B-3,EVA Porto 1028B-3 size 30-35 @72,Very Fast,30.0,45.0,26.0,0.0,0.0,0.0,200.0,-174.0
88,2021-12-04,BA207L,Shoe Porto BA 207L size 36-40 @40,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2021-12-04,E1037B-1,EVA Porto 1037B-1 size 30-35 @72,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2021-12-04,AD303K-35,Shoe Porto AD 303K Navy size 26-30 @20,Very Fast,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
91,2021-12-04,E1042M,EVA Porto 1042M size 39-44 @48,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2021-12-04,E1028B,EVA Porto 1028B size 30-35 @72,Medium,128.0,93.0,76.0,0.0,1.0,-1.0,118.0,-42.0
93,2021-12-04,E1029B,EVA Porto 1029B size 30-35 @72,Medium,1.0,7.0,43.0,0.0,1.0,-1.0,31.0,12.0
94,2021-12-04,JNEO,PortoLady NEO size 36-40 @36,Medium,60.0,65.0,63.0,0.0,2.0,-2.0,8.0,55.0
95,2021-12-04,E1028M-2,EVA Porto 1028M-2 size 40-44 @48,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2021-12-04,E0038K,EVA KananKiri K38 size 24-29 @96,Fast,60.0,60.0,22.0,0.0,0.0,0.0,40.0,-18.0
97,2021-12-04,BC201L,Shoe Porto BC 201L size 37-40 @40,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2021-12-04,E1037K-1,EVA Porto 1037K-1 size 30-35 @72,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2021-12-04,E3031L,EVA Porto 3031L size 36-40 @72,Very Fast,167.0,200.0,258.0,0.0,10.0,-10.0,59.0,199.0
100,2021-12-04,E1023B-1,EVA Porto 1023B-1 size 30-35 @72,Very Fast,335.0,239.0,381.0,3.0,8.0,-5.0,40.0,341.0
101,2021-12-04,E1006L,EVA Porto 1006L size 36-39 @48,Medium,0.0,0.0,73.0,3.0,0.0,3.0,113.0,-40.0
102,2021-12-04,E1002M,EVA Porto 1002M size 39-43 @48,Very Fast,212.0,218.0,665.0,5.0,12.0,-7.0,60.0,605.0
